Created Date,Agency,Complaint Type,Location Type,Street Name,City
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,AMSTERDAM AVENUE,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,JUNCTION BOULEVARD,Jackson Heights
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CORONA AVENUE,STATEN ISLAND
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,1 AVENUE,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BRIGHTON   12 STREET,BROOKLYN
January,DOT,Street Light Condition,,QUEENS BOULEVARD,Forest Hills
January,DOT,Street Condition,,SEAGIRT BOULEVARD,Far Rockaway
January,DOT,Broken Muni Meter,Street,3 AVENUE,NEW YORK
January,DOB,Elevator,,CLARKSON AVENUE,BROOKLYN
January,HPD,PLUMBING,RESIDENTIAL BUILDING,WILSON AVENUE,BRONX
January,DEP,Water System,,19 AVENUE,BROOKLYN
January,DOF,DOF Literature Request,,,
January,DOT,Traffic Signal Condition,,,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,OCEAN PARKWAY,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,9 AVENUE,NEW YORK
January,DSNY,Dirty Conditions,Lot,HALSEY STREET,BROOKLYN
January,DSNY,Dirty Conditions,Sidewalk,COMMONWEALTH BOULEVARD,Bellerose
January,DOB,General Construction/Plumbing,,ST MARKS AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BROADWAY,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,DEBEVOISE AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,LINDEN BOULEVARD,Jamaica
January,DEP,Water System,,FEATHERBED LANE,BRONX
January,HPD,WATER LEAK,RESIDENTIAL BUILDING,MAPLE PARKWAY,STATEN ISLAND
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,MT HOPE PLACE,BRONX
January,HPD,WATER LEAK,RESIDENTIAL BUILDING,BUSHWICK AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  202 STREET,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ST NICHOLAS AVENUE,NEW YORK
January,DEP,Noise,,,BROOKLYN
January,DOHMH,Rodent,Other (Explain Below),EAST 3RD STREET,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,SHERMAN AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,UNION TURNPIKE,Kew Gardens
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BUHRE AVENUE,BRONX
January,DOT,Sidewalk Condition,Sidewalk,78 STREET,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,OCEAN AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST  141 STREET,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  196 STREET,BRONX
January,NYPD,Derelict Vehicle,Street/Sidewalk,WEST 155 STREET,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,JEROME AVENUE,BRONX
January,DOF,DOF Property - Request Copy,Property Address,,ARVERNE
January,DSNY,Dirty Conditions,Sidewalk,MERRICK BOULEVARD,Springfield Gardens
January,NYPD,Illegal Parking,Street/Sidewalk,PEARL STREET,BROOKLYN
January,DOT,Street Light Condition,,,BROOKLYN
January,DPR,Agency Issues,,,
January,DOB,Building/Use,,CAMBRIDGE AVENUE,STATEN ISLAND
January,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,WASHINGTON AVENUE,BRONX
January,DOT,Street Light Condition,,CLEARVIEW EXPY,
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,GATES AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,LEFFERTS BOULEVARD,South Ozone Park
January,DEP,Water Quality,,BRIGHTON STREET,STATEN ISLAND
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,RIDGE BOULEVARD,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,132 ROAD,Rosedale
January,DOHMH,Rodent,3+ Family Apt. Building,RITTER PLACE,BRONX
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,GRAND CONCOURSE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,LENOX ROAD,BROOKLYN
January,DOT,Street Condition,,SEAGIRT BOULEVARD,Far Rockaway
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,SNEDIKER AVENUE,BROOKLYN
January,DSNY,Missed Collection (All Materials),Sidewalk,FREMONT AVENUE,STATEN ISLAND
January,DOT,Street Light Condition,,,BRONX
January,NYPD,Illegal Parking,Street/Sidewalk,CROSBY AVENUE,BRONX
January,HPD,FLOORING/STAIRS,RESIDENTIAL BUILDING,KINGS HIGHWAY,BROOKLYN
January,DSNY,Sanitation Condition,Street,,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   11 STREET,NEW YORK
January,DOF,DOF Property - Request Copy,Property Address,,ASTORIA
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   98 STREET,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ST JOHNS PLACE,BROOKLYN
January,NYPD,Noise - Commercial,Store/Commercial,EAST 100 STREET,NEW YORK
January,NYPD,Illegal Parking,Street/Sidewalk,230 STREET,CAMBRIA HEIGHTS
January,NYPD,Noise - Residential,Residential Building/House,WEST 148 STREET,NEW YORK
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,PROSPECT AVENUE,BRONX
January,NYPD,Blocked Driveway,Street/Sidewalk,PITKIN AVENUE,OZONE PARK
January,DOE,School Maintenance,School,OSBORN STREET,BROOKLYN
January,HPD,PLUMBING,RESIDENTIAL BUILDING,WEST  176 STREET,NEW YORK
January,DEP,Sewer,,BASSFORD AVENUE,BRONX
January,DOT,Street Light Condition,,QUEENSBORO BRIDGE,
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,SOUTHERN BOULEVARD,BRONX
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,BROADWAY,NEW YORK
January,HPD,WATER LEAK,RESIDENTIAL BUILDING,QUENTIN ROAD,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,AUSTIN STREET,Forest Hills
January,DOF,DOF Parking - Request Status,N/A,,
January,DOT,Street Light Condition,,,
January,HPD,APPLIANCE,RESIDENTIAL BUILDING,BRONX BOULEVARD,BRONX
January,NYPD,Illegal Parking,Street/Sidewalk,EAST 167 STREET,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  117 STREET,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CORTELYOU ROAD,BROOKLYN
January,DEP,Noise,,PALMETTO STREET,BROOKLYN
January,NYPD,Noise - Street/Sidewalk,Street/Sidewalk,169 STREET,FRESH MEADOWS
January,HPD,FLOORING/STAIRS,RESIDENTIAL BUILDING,EAST  170 STREET,BRONX
January,DEP,Water System,,EAST   34 STREET,BROOKLYN
January,HPD,WATER LEAK,RESIDENTIAL BUILDING,BROADWAY,NEW YORK
January,NYPD,Blocked Driveway,Street/Sidewalk,NORTH BURGHER AVENUE,STATEN ISLAND
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,MONTEREY AVENUE,BRONX
January,DOT,Street Light Condition,,METROPOLITAN AVENUE,Middle Village
January,NYPD,Noise - Residential,Residential Building/House,OGDEN AVENUE,BRONX
January,NYPD,Illegal Parking,Street/Sidewalk,COOPER SQUARE,NEW YORK
January,DCA,Consumer Complaint,,WEST 55 STREET,NEW YORK
January,NYPD,Noise - Residential,Residential Building/House,EUCLID AVENUE,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,HOMECREST AVENUE,BROOKLYN
January,NYPD,Noise - Commercial,Club/Bar/Restaurant,EAST 2 STREET,NEW YORK
January,NYPD,Noise - Commercial,Store/Commercial,HALSEY STREET,BROOKLYN
January,NYPD,Derelict Vehicle,Street/Sidewalk,EAST 94 STREET,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,PACIFIC STREET,BROOKLYN
January,DEP,Sewer,,WILLOUGHBY AVENUE,BROOKLYN
January,NYPD,Illegal Parking,Street/Sidewalk,SEDGWICK AVENUE,BRONX
January,NYPD,Noise - Residential,Residential Building/House,OCEAN PARKWAY,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,SEAMAN AVENUE,NEW YORK
January,HPD,FLOORING/STAIRS,RESIDENTIAL BUILDING,59 STREET,Woodside
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,MORNINGSIDE AVENUE,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CROWN STREET,BROOKLYN
January,HPD,GENERAL,RESIDENTIAL BUILDING,EAST  168 STREET,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST   21 STREET,BROOKLYN
January,DOF,SCRIE,Senior Address,,FLUSHING
January,DEP,Water System,,WESTCHESTER AVENUE,BRONX
January,DEP,Water System,,GILLESPIE AVENUE,BRONX
January,DEP,Noise,,WEST   81 STREET,NEW YORK
January,DOF,DOF Literature Request,,,
January,HRA,Benefit Card Replacement,NYC Street Address,,
January,DOF,DOF Literature Request,,,
January,DSNY,Dirty Conditions,Sidewalk,FORD STREET,BROOKLYN
January,DOF,DOF Parking - Payment Issue,N/A,,
January,DSNY,Derelict Vehicles,Street,95 AVENUE,Ozone Park
January,DOF,DOF Property - Reduction Issue,Government/Not-for Profit,,SPRINGFIELD GARDENS
January,DEP,Noise,,,NEW YORK
January,NYPD,Blocked Driveway,Street/Sidewalk,WHEELER AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,GRAND CONCOURSE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ADAM C POWELL BOULEVARD,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ROCKAWAY AVENUE,BROOKLYN
January,NYPD,Derelict Vehicle,Street/Sidewalk,,OZONE PARK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,HILLSIDE AVENUE,NEW YORK
January,TLC,For Hire Vehicle Complaint,Street,PRINCE STREET,NEW YORK
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,WEST  145 STREET,NEW YORK
January,DPR,Damaged Tree,Street,79 STREET,RIDGEWOOD
January,NYPD,Illegal Parking,Street/Sidewalk,229 STREET,SPRINGFIELD GARDENS
January,NYPD,Illegal Parking,Street/Sidewalk,SAINT JAMES AVENUE,ELMHURST
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,STORY AVENUE,BRONX
January,NYPD,Blocked Driveway,Street/Sidewalk,97 STREET,CORONA
January,NYPD,Noise - Residential,Residential Building/House,OCEAN PARKWAY,BROOKLYN
January,DEP,Noise,,,NEW YORK
January,DOT,Traffic Signal Condition,,,
January,NYPD,Derelict Vehicle,Street/Sidewalk,EAST 24 STREET,BROOKLYN
January,HPD,APPLIANCE,RESIDENTIAL BUILDING,BEACH AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,76 STREET,Jackson Heights
January,NYPD,Blocked Driveway,Street/Sidewalk,RYAN STREET,WHITESTONE
January,DSNY,Sanitation Condition,Street,18 AVENUE,BROOKLYN
January,DOT,Street Light Condition,,,Jamaica
January,DOT,Traffic Signal Condition,,,Forest Hills
January,DOHMH,Food Poisoning,Restaurant/Bar/Deli/Bakery,GUY BREWER BOULEVARD,JAMAICA
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  163 STREET,BRONX
January,HPD,APPLIANCE,RESIDENTIAL BUILDING,WEST  151 STREET,NEW YORK
January,FDNY,Fire Safety Director - F58,Street Address,EAST 49 STREET,NEW YORK
January,DOT,Street Condition,,EAST   94 STREET,BROOKLYN
January,DOT,Broken Muni Meter,Street,ATLANTIC AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BUCHANAN PLACE,BRONX
January,DOB,Building/Use,,35 STREET,Astoria
January,NYPD,Noise - Residential,Residential Building/House,EAST 163 STREET,BRONX
January,DOB,General Construction/Plumbing,,BALTIC STREET,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,OVERLOOK TERRACE,NEW YORK
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,OCEAN AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,SEDGWICK AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,AMSTERDAM AVENUE,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,61 STREET,Woodside
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ENGERT AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,MACOMBS ROAD,BRONX
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,RALPH AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CHAUNCEY STREET,BROOKLYN
January,NYPD,Illegal Parking,Street/Sidewalk,5 AVENUE,BROOKLYN
January,DSNY,Derelict Vehicles,Street,70 STREET,Ridgewood
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,MARION STREET,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CHRISTOPHER STREET,NEW YORK
January,DOF,DOF Property - Reduction Issue,Government/Not-for Profit,,BROOKLYN
January,DHS,Homeless Person Assistance,,,NEW YORK
January,DOB,Elevator,,WEST   55 STREET,NEW YORK
January,DOT,Street Light Condition,,70 STREET,BROOKLYN
January,DOT,Street Light Condition,,,
January,DOB,Elevator,,OCEAN PARKWAY,BROOKLYN
January,DOT,Traffic Signal Condition,,,
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST    4 STREET,NEW YORK
January,NYPD,Noise - Street/Sidewalk,Street/Sidewalk,WEST 180 STREET,NEW YORK
January,DOT,Street Condition,Street,,NEW YORK
January,DEP,Noise,,MORGAN AVENUE,BROOKLYN
January,HPD,WATER LEAK,RESIDENTIAL BUILDING,195 STREET,Saint Albans
January,HPD,PLUMBING,RESIDENTIAL BUILDING,MAC DONOUGH STREET,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ALDERTON STREET,Rego Park
January,DOT,Street Light Condition,,,Jackson Heights
January,DOT,Traffic Signal Condition,,,BROOKLYN
January,NYPD,Blocked Driveway,Street/Sidewalk,91 STREET,OZONE PARK
January,DOT,Street Condition,Street,EGBERT PLACE,STATEN ISLAND
January,NYPD,Blocked Driveway,Street/Sidewalk,153 STREET,JAMAICA
January,DOT,Street Light Condition,,,BROOKLYN
January,DSNY,Derelict Vehicles,Street,,South Ozone Park
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,HANCOCK STREET,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,8 AVENUE,NEW YORK
January,DSNY,Sanitation Condition,Street,EAST   79 STREET,BROOKLYN
January,DOT,Broken Muni Meter,Street,73 STREET,JACKSON HEIGHTS
January,NYPD,Blocked Driveway,Street/Sidewalk,EAST 52 STREET,BROOKLYN
January,HRA,Benefit Card Replacement,Address Outside of NYC,,
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,CLAY AVENUE,BRONX
January,NYPD,Blocked Driveway,Street/Sidewalk,118 STREET,SOUTH RICHMOND HILL
January,DHS,Homeless Person Assistance,,EAST 25 STREET,NEW YORK
January,NYPD,Blocked Driveway,Street/Sidewalk,EAST 2 STREET,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,WEST 48 STREET,NEW YORK
January,NYPD,Noise - Residential,Residential Building/House,EAST 3 STREET,NEW YORK
January,DEP,Water System,,198 STREET,Fresh Meadows
January,DSNY,Sanitation Condition,Sidewalk,EAST    8 STREET,BROOKLYN
January,DOB,Elevator,,OCEAN AVENUE,BROOKLYN
January,NYPD,Blocked Driveway,Street/Sidewalk,JUNIPER AVENUE,FLUSHING
January,NYPD,Noise - Residential,Residential Building/House,BROOKLYN AVENUE,BROOKLYN
January,DOT,Traffic Signal Condition,,,
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,210 STREET,Oakland Gardens
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CROTONA AVENUE,BRONX
January,DOF,DOF Property - Payment Issue,Property Address,,BROOKLYN
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,TIEBOUT AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BROADWAY,NEW YORK
January,HPD,PLUMBING,RESIDENTIAL BUILDING,SOUTH    3 STREET,BROOKLYN
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,OCEAN AVENUE,BROOKLYN
January,DOT,Highway Condition,Highway,,BROOKLYN
January,DOT,Traffic Signal Condition,,,STATEN ISLAND
January,HPD,WATER LEAK,RESIDENTIAL BUILDING,AVENUE F,BROOKLYN
January,NYPD,Blocked Driveway,Street/Sidewalk,YOUNG AVENUE,BRONX
January,DSNY,Derelict Vehicles,Street,BERGEN AVENUE,BROOKLYN
January,DOT,Street Condition,,NEW UTRECHT AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST  181 STREET,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,PARSONS BOULEVARD,Jamaica
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,PROSPECT PLACE,BROOKLYN
January,DOT,DOT Literature Request,,,
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  187 STREET,BRONX
January,DOE,School Maintenance,School,DEAN STREET,BROOKLYN
January,DOF,DOF Property - Payment Issue,Property Address,,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  105 STREET,NEW YORK
January,DPR,Maintenance or Facility,Park,,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST   96 STREET,NEW YORK
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,BERGEN STREET,BROOKLYN
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,148 AVENUE,Rosedale
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,NEPTUNE AVENUE,BROOKLYN
January,NYPD,Derelict Vehicle,Street/Sidewalk,79 AVENUE,RIDGEWOOD
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CARPENTER AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,CENTRAL PARK WEST,NEW YORK
January,HPD,PLUMBING,RESIDENTIAL BUILDING,VALENTINE AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,VAN KLEECK STREET,Elmhurst
January,DOB,Boilers,,PARK AVENUE,BRONX
January,DPR,Root/Sewer/Sidewalk Condition,Street,JEROME STREET,BROOKLYN
January,DOF,DOF Property - Request Copy,Property Address,,BROOKLYN
January,DSNY,Missed Collection (All Materials),Sidewalk,90 AVENUE,Woodhaven
January,DOT,Street Light Condition,,JEFFERSON AVENUE,BROOKLYN
January,DOF,DOF Literature Request,,,
January,DOT,Street Light Condition,,,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,RIVINGTON STREET,NEW YORK
January,HPD,SAFETY,RESIDENTIAL BUILDING,MOTT STREET,NEW YORK
January,DOT,Traffic Signal Condition,,,Flushing
January,DOT,Street Light Condition,,BLAKE HOBBS PARK,
January,HRA,Benefit Card Replacement,NYC Street Address,,
January,DOT,Street Light Condition,,,
January,DOT,Street Condition,Street,CORTELYOU ROAD,BROOKLYN
January,DOT,Street Light Condition,,,BRONX
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,EAST   54 STREET,BROOKLYN
January,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,HALSEY STREET,BROOKLYN
January,NYPD,Blocked Driveway,Street/Sidewalk,78 STREET,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EUCLID AVENUE,BROOKLYN
January,HPD,PLUMBING,RESIDENTIAL BUILDING,CRESTON AVENUE,BRONX
January,DOHMH,Rodent,Vacant Building,45 ROAD,Bayside
January,DOB,Elevator,,WEST  139 STREET,NEW YORK
January,DOF,DOF Literature Request,,,
January,DOF,DOF Literature Request,,,
January,NYPD,Illegal Parking,Street/Sidewalk,LENOX ROAD,BROOKLYN
January,DOT,Traffic Signal Condition,,,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  170 STREET,BRONX
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,CARPENTER AVENUE,BRONX
January,DSNY,Derelict Vehicles,Street,FOX STREET,BRONX
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,HULL STREET,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,WILLETT AVENUE,BRONX
January,DOB,General Construction/Plumbing,,OCEAN AVENUE,BROOKLYN
January,DOT,Street Light Condition,,DE KALB AVENUE,BRONX
January,NYPD,Blocked Driveway,Street/Sidewalk,WOODBINE STREET,RIDGEWOOD
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,WEST  181 STREET,BRONX
January,DCA,Consumer Complaint,,NORTHERN BOULEVARD,BAYSIDE
January,DEP,Noise,,WEST   33 STREET,NEW YORK
January,DEP,Sewer,,,Corona
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BEACH   14 STREET,Far Rockaway
January,NYPD,Blocked Driveway,Street/Sidewalk,SUYDAM STREET,BROOKLYN
January,DSNY,Derelict Vehicles,Street,WYONA STREET,BROOKLYN
January,HPD,DOOR/WINDOW,RESIDENTIAL BUILDING,EAST  168 STREET,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ELDRIDGE STREET,NEW YORK
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,EAST  172 STREET,BRONX
